1	一捧雪記四卷	廣州五桂堂板	俗文學叢刊469冊	/	/	南音-木魚書	88	俗：梁天來四卷；佛圖有其他本。
626	2-後續大唐三棄梨花全本（三棄梨花）四卷	省港五桂堂 機器版	廣東省立中山圖書館	全	選	南音	51	復旦有醉經堂本。
627	3-後續大唐三棄梨花全本（三棄梨花）四卷（缺卷三）	省港五桂堂	廣州圖書館	殘	/	南音	/	/
628	闊佬鬧嗅老舉	廣州以文堂	俗文學叢刊417冊	/	/	龍舟歌	/	鬧臭老舉
629	善惡分明	省港五桂堂刻本	廣東省立中山圖書館	全	選	龍舟歌？	4	/
630	1-寒興取柴一卷	文明閣書莊活字本	中山大學中國非物質文化遺產研究中心	全	選	木魚	24	佛圖有華興書局新編木魚三姑妹寒興取柴。
631	2-寒興取柴	民智書局活字本	廣東省立中山圖書館	全	/	木魚	未見	/
632	發瘋仔中狀元二卷	廣州成文堂木刻本	鐵文軒	/	/	/	19	新刻板本疍家妹賣馬蹄，未徵集，疑非此類。
633	瑞愛操琴	赤坎新開書局鉛印本	鐵文軒	/	/	/	/	未徵集
634	新編曠野奇逢全本（正字南音閨諫瑞蘭全本）四卷	香港五桂堂機器板	廣東省立中山圖書館	全	選	南音-木魚書	70	按：347與348底本均全，內容大體同，極個別用字有異。二者兼收還是收錄其一？請定。傅斯年新編曠野奇逄全本、甘隆全本、閨桑瑞蘭。
635	新編曠野奇逢全本（瑞蘭全本）四卷	省港五桂堂刻本	中山大學圖書館	全	選	南音-木魚書	73	按：347與348底本均全，內容大體同，極個別用字有異。二者兼收還是收錄其一？請定。傅斯年新編曠野奇逄全本、甘隆全本、閨桑瑞蘭。
636	1-瑞蘭店中分別（店中分別）	省港漢華書局據五桂堂本改板印行	廣東省立中山圖書館	全	/	龍舟歌？	4	兩底本同，印刷機構不同，2底本較好，建議選2.
637	2-瑞蘭店中分別（店中分別）	廣州五桂堂機器板	首都圖書館	全	選	龍舟歌？	4	兩底本同，印刷機構不同，2底本較好，建議選2.
638	1新出龍舟歌瑞蘭許願（瑞蘭許願）	廣州富桂堂據舊本改板印行龍舟松原本刻本	日本京都大學人文科學研究所	/	/	龍舟歌	未見	按：2、3與4底本同，印刷時間不同，2P3左壓字，建議用3或4。
639	2瑞蘭許願（1）	五桂堂據舊本改板印行刻本	廣東省立中山圖書館	全	/	龍舟歌	4	按：2、3與4底本同，印刷時間不同，2P3左壓字，建議用3或4。
640	3 瑞蘭許願（龍舟歌）（2）	廣州五桂堂	首都圖書館	全	任選其一	龍舟歌	4	按：2、3與4底本同，印刷時間不同，2P3左壓字，建議用3或4。
641	4 瑞蘭許願（龍舟歌）（3）	廣州五桂堂	首都圖書館	全	任選其一	龍舟歌	4	按：2、3與4底本同，印刷時間不同，2P3左壓字，建議用3或4。
642	蓮英招親一卷	民國赤坎新開書局鉛印本	順德區圖書館	/	/	/	2	未檢查
643	夢蘭憶友	廣州以文堂	俗文學叢刊419冊	/	/	龍舟歌	/	上圖有廣東刻本
644	新南音蒙正招親	桂籍堂刻本	德國巴伐利亞州立圖書館	全	選	龍舟歌	4	/
645	蒙正捱雪	廣州以文堂·富經堂	俗文學叢刊415冊	/	/	龍舟歌	/	/
646	1-蒙正祭灶	省港五桂堂機器板	廣東省立中山圖書館	/	選	龍舟歌	4	3封面為蒙正祭灶，正文為紅樓夢卷二P7-11，當為299-2卷二內容。1與2底本內容完全不同，建議均收。
647	2-蒙正祭灶	廣州成文堂板	首都圖書館	/	選	龍舟歌	4	3封面為蒙正祭灶，正文為紅樓夢卷二P7-11，當為299-2卷二內容。1與2底本內容完全不同，建議均收。
648	3-蒙正祭灶	廣州以文堂機器板	廣東省立中山圖書館	/	/	/	/	3封面為蒙正祭灶，正文為紅樓夢卷二P7-11，當為299-2卷二內容。1與2底本內容完全不同，建議均收。
649	1-蒙正賞月	廣州以文堂·富經堂	俗文學叢刊415冊	/	/	龍舟歌	/	2缺失嚴重，內文為《金葉菊》，與298-1內容同。
650	2-蒙正賞月	/	廣東省立中山圖書館	/	/	/	/	2缺失嚴重，內文為《金葉菊》，與298-1內容同。
651	3-蒙正賞月	五桂堂機器板	首都圖書館	全	選	龍舟歌	3	2缺失嚴重，內文為《金葉菊》，與298-1內容同。
652	蒙正擺齋	廣州以文堂	俗文學叢刊415冊	/	/	龍舟歌	/	/
653	蒙正繡球記六卷	廣州醉經堂	俗文學叢刊449冊	/	/	南音-木魚書	/	/
654	大宋楊文廣進香十卷	鈔本	廣東省立中山圖書館	全	選	/	254	待定
655	1楊家將大破天門陣四集二十四卷	五桂堂據丹柱堂刻本改板印行	廣東省立中山圖書館	/	/	南音	數據未見	3疑非此類，建議選2。
656	2新刻楊家將大破天門陣全本（新刻大破天門陣全本）四集二十四卷	丹桂堂、榮德堂刻本	中山大學中國非物質文化遺產研究中心	殘	選	南音	343	3疑非此類，建議選2。
657	2新刻楊家將大破天門陣全本（新刻大破天門陣全本）四集二十四卷	丹桂堂、榮德堂刻本	國家圖書館	殘	選	南音	/	3疑非此類，建議選2。
658	2新刻楊家將大破天門陣全本（新刻大破天門陣全本）四集二十四卷	丹桂堂、榮德堂刻本	/	殘	選	南音	補頁碼	3疑非此類，建議選2。
659	3（楊家將）天門陣全本 新刻穆桂英產子五本	常德府三元堂歌書三元堂本	中山大學中國非物質文化遺產研究中心	/	/	南音	425	3疑非此類，建議選2。
660	（楊家將）大破天門陣四集二十四卷	廣州丹柱堂·榮德堂	俗文學叢刊452~453冊	/	/	南音	/	3疑非此類，建議選2。
661	1-新續（楊家將）十二寡婦征西五集三十卷（五至九集） 閒情劇士訂	廣州五桂堂據丹柱堂刻本改板印行刻本	廣東省立中山圖書館	全	選	南音	533	初集為楊家將大破天門陣。1、2與3底本同。1存5至9集，2存6集且殘，3存5至9集且殘。建議選1.
662	2-（楊家將）十二寡婦征西（第六集）	榮德堂	廣州圖書館	殘	/	南音	104	初集為楊家將大破天門陣。1、2與3底本同。1存5至9集，2存6集且殘，3存5至9集且殘。建議選1.
663	3-（楊家將）十二寡婦征西	榮德堂據丹柱堂刊本改板重印	中山大學中國非物質文化遺產研究中心	殘	/	南音	/	初集為楊家將大破天門陣。1、2與3底本同。1存5至9集，2存6集且殘，3存5至9集且殘。建議選1.
664	4-（楊家將）十二寡婦征西五集三十卷（五到九集）	廣州丹柱堂·榮德堂	俗文學叢刊454~455冊	/	/	南音	/	初集為楊家將大破天門陣。1、2與3底本同。1存5至9集，2存6集且殘，3存5至9集且殘。建議選1.
665	4-（楊家將）十二寡婦征西五集三十卷（五到九集）	廣州丹柱堂·榮德堂	國家圖書館	/	/	南音	補頁碼	初集為楊家將大破天門陣。1、2與3底本同。1存5至9集，2存6集且殘，3存5至9集且殘。建議選1.
666	楊翠喜憶恨情郎	廣州以文堂	俗文學叢刊416冊	/	/	龍舟歌	/	/
667	1-新刻時興雷峰塔古蹟白蛇記（正字白蛇雷峰塔全本）四卷三十回	廣州五桂堂據聯益堂刊本修板印行刻本	廣東省立中山圖書館	全	選	南音	47	按：1與2底本同，1全，2殘缺（缺卷二、卷四P11），1底本整體尚可，選1。
668	2-新刻時興雷峰塔古蹟白蛇記（白蛇雷峰塔）四卷三十回（缺卷二卷四）	廣州以文堂據聯益堂刊本修板印行刻本	中山大學中國非物質文化遺產研究中心	殘	/	南音	37	按：1與2底本同，1全，2殘缺（缺卷二、卷四P11），1底本整體尚可，選1。
669	3-雷峯塔白蛇記四卷	廣州以文堂·聯益堂	俗文學叢刊466冊	/	/	南音	/	白蛇雷鋒塔
670	4-新刻時興雷峰塔古蹟白蛇記	/	中山大學中國非物質文化遺產研究中心	殘	/	南音	/	/
671	校本正粵謳	廣州麟書閣機器板 宣統二年	廣東省立中山圖書館	殘	/	粵謳	47	上圖有富經堂本
672	新本再粵謳（再粵謳）	庚寅年新鐫蘭經堂刻本	德國巴伐利亞州立圖書館	全	/	粵謳	80	有以文堂、成文堂、守經堂、占經樓等刻本
673	新粵謳解心夢餘生著	刻本廣州民國10年(1921)	廣東省立中山圖書館	全	選	粵謳	64	正文按時間分為辛酉稿、壬戌稿、癸亥稿；卷端有署“珠海夢餘生著”
674	1-粵謳	道光八年序刻本	德國巴伐利亞州立圖書館	全	選	粵謳	80	兩主體內容同，排版不同。1全，2缺，可考慮同時收錄。
675	2-粵謳	廣州五桂堂機器板	廣東省立中山圖書館	殘	/	粵謳	49	兩主體內容同，排版不同。1全，2缺，可考慮同時收錄。
676	鮑公訪友	廣州以文堂	俗文學叢刊415冊	/	/	龍舟歌	5	核書目，包公訪友。
677	解心弔秋喜	廣州以文堂	俗文學叢刊416冊	/	/	龍舟歌	/	夜弔秋喜。查弔字。上圖有廣州五桂堂本
678	解茶泡	廣州以文堂	俗文學叢刊419冊	/	/	龍舟歌	/	/
679	1-解攜籃南音二卷6附玉蟬付薦金蘭二卷5玉蟬問覡4、玉蟬嘆五更3	以文堂刻本	中山大學中國非物質文化遺產研究中心	全	/	南音	20	1封面題“解攜籃”內容包括以上四種；2僅存“解攜籃”。1、3版本同，但3/玉蟬問覡卷上。且69玉蟬問覡，主體內容與其同，版式、個別用字有異。是抽出移到69條，還是此處保留。1、3中的解攜籃與2主題內容同，措辭、用字有異。2/其他部分。怎樣選底本？此外，玉蟬嘆五更第70條亦有收錄，內容版式與此同，怎樣處理，請定。核“蟬”字。
680	2-解攜籃二卷	省港五桂堂機器板	廣東省立中山圖書館	缺	/	南音？	5	1封面題“解攜籃”內容包括以上四種；2僅存“解攜籃”。1、3版本同，但3/玉蟬問覡卷上。且69玉蟬問覡，主體內容與其同，版式、個別用字有異。是抽出移到69條，還是此處保留。1、3中的解攜籃與2主題內容同，措辭、用字有異。2/其他部分。怎樣選底本？此外，玉蟬嘆五更第70條亦有收錄，內容版式與此同，怎樣處理，請定。核“蟬”字。
681	3-解攜籃南音二卷附玉蟬附薦金蘭二卷、玉蟬嘆五更、玉蟬問覡二卷	以文堂刻本	英國倫敦大學亞非學院圖書館	全	/	南音	20	1封面題“解攜籃”內容包括以上四種；2僅存“解攜籃”。1、3版本同，但3/玉蟬問覡卷上。且69玉蟬問覡，主體內容與其同，版式、個別用字有異。是抽出移到69條，還是此處保留。1、3中的解攜籃與2主題內容同，措辭、用字有異。2/其他部分。怎樣選底本？此外，玉蟬嘆五更第70條亦有收錄，內容版式與此同，怎樣處理，請定。核“蟬”字。
682	1-新拆字眼	省港五桂堂刻本	日本天理大學附屬天理圖書館	全	任選其一	龍舟歌？	3	按：兩版本同，底本均較好，可選其一。
683	2-新拆字眼	省港五桂堂刻本	廣東省立中山圖書館	全	任選其一	龍舟歌？	3	按：兩版本同，底本均較好，可選其一。
684	1-慈雲走國三十卷（缺二集卷一卷二） 漳江閒情居士稿	廣州以文堂據舊本改板印行刻本	廣東省立中山圖書館	殘	選	南音-木魚書	530	國圖有清刻本。
685	2-慈雲走國三十卷（存二集六卷）	佛山芹香閣板	廣州圖書館初續卷1	殘	選	南音-木魚書	111	兩者內容同，其中1缺二集卷一與卷二，且前四集頁面品質欠佳，部分文字殘缺。2只存二集。兩者均收？請定。
686	2-慈雲走國三十卷（存二集六卷）	佛山芹香閣板	廣州圖書館初續卷2至卷6	殘	選	南音-木魚書	111	/
687	3-慈雲太子走國五集三十卷	廣州以文堂	俗文學叢刊461~463冊	殘	/	南音-木魚書	/	/
688	煙友細談	廣州醉經堂	俗文學叢刊417冊	/	/	龍舟歌	/	/
689	群英桀全本四集十六卷（存初集二續）	廣州以文堂木刻本	中山大學圖書館	/	/	南音	142	未見數據
690	群英桀全本四集十六卷	佛山文光樓木刻本	鐵文軒（存三續四續）	/	/	/	142	未徵集
691	群英桀全本四集十六卷	佛山文光樓木刻本	北京師範大學圖書館	/	/	/	284	未徵集
692	碧仙執藥一卷	積書堂木刻	鐵文軒	/	/	/	/	未徵集
693	1-新選全本正字碧桃仙帕（新出龍舟歌碧桃錦帕）四卷	省港漢華書局據五桂堂機器板改板印行機器版	1-1廣州圖書館	全	任選其一	南音-木魚書	57	按：底本同，底本均較好，可選其一。
694	1-新選全本正字碧桃仙帕（新出龍舟歌碧桃錦帕）四卷	省港漢華書局據五桂堂機器板改板印行機器版	1-2廣東省立中山圖書館	全	任選其一	南音-木魚書	57	按：底本同，底本均較好，可選其一。
695	2-新選全本正字碧桃仙帕（正字碧桃仙帕）四卷	五桂堂機器板	廣州圖書館	全	任選其一	南音-木魚書	57	按：底本同，底本均較好，可選其一。
696	碧桃錦帕（新出龍舟歌碧桃錦帕）	廣州德文堂刻本	廣東省立中山圖書館	全	選	龍舟歌	4	/
697	碧桃錦帕四卷	廣州以文堂	俗文學叢刊476冊	/	/	南音-木魚書	/	/
698	碧容祭監二卷	廣州醉經書局機器板	廣東省立中山圖書館	全	選	/	6	/
699	碧容祭監二卷	佛山芹香閣板	順德區圖書館	/	/	/	/	未檢查
700	趙五娘琵琶記	鉛印本	鐵文軒	/	/	/	/	未徵集
701	新刻趙玉麟傳二卷	光緒十三年羅彩記梓行	中山大學中國非物質文化遺產研究中心	/	/	/	12	有關趙玉麟的說唱本，未見廣州口語，疑非此類。版心“香記”
702	新選飛龍傳（趙）匡胤出身全本（飛龍出身）四卷	省港五桂堂刻本	中山大學圖書館	全	選	南音	78	（趙）為另加，主題詞待商榷：“飛龍”“匡胤”“趙匡胤”？
703	趙匡胤算命	廣州以文堂	俗文學叢刊415冊	/	/	龍舟歌	/	/
704	壽星橋祭奠	廣州以文堂板	俗文學叢刊414冊	/	/	龍舟歌	4	/
705	新編壽星橋祭奠鳳嬌投水全集（鳳嬌投水全集） 南海餘瑞珊訂	廣州華興書局排印本	廣東省立中山圖書館	全	選	南音？	31	主題詞是否調整
706	奪標錦二卷	廣州五桂堂刻本	中山大學中國非物質文化遺產研究中心	全	選	龍舟歌	32	/
707	1-新選全本銀合太子走國（新刻銀合太子走國全本）五集五十卷（缺初集卷一 二集卷三 三集卷十） 閒情居士稿	廣州近文堂藏板	中山大學中國非物質文化遺產研究中心	缺	/	南音	758	按：1與2均殘，2僅存二集卷二。俗文學本缺初集卷五P11，卷八P18。收1用俗文學本補配？
708	2-二續銀合太子走國內附韓夢金蟬脫殼	文光樓本	首都圖書館	存二集	/	南音	/	按：1與2均殘，2僅存二集卷二。俗文學本缺初集卷五P11，卷八P18。收1用俗文學本補配？
709	3-銀合太子走國五集五十卷	廣州近文堂	俗文學叢刊420~423冊	殘	/	南音	/	按：1與2均殘，2僅存二集卷二。俗文學本缺初集卷五P11，卷八P18。收1用俗文學本補配？
710	鳳氏祭夫	會文閣刻本	中山大學中國非物質文化遺產研究中心	全	選	木魚歌	6	分類據張曉琪《新輯木魚歌文獻研究》
711	鳳將軍倉前街被炸（新串鳳將軍倉前被炸）二卷	廣州五桂堂機器板	廣東省立中山圖書館	全	選	龍舟歌？	9	/
712	重訂鳳儀亭訴苦（鳳儀亭訴苦）二卷	香港五桂堂據廣州以文堂機器板改板印行	英國倫敦大學亞非學院圖書館	全	選	龍舟歌	6	俗：廣州以文堂機器板。查鳯字。
713	重訂鳳儀亭訴苦（鳳儀亭訴苦）二卷	香港五桂堂據廣州以文堂機器板改板印行	英國倫敦大學亞非學院圖書館	全	選	龍舟歌	6	俗：廣州以文堂機器板。查鳯字。
714	鳳嬌進香一卷	廣州丹柱堂木刻本	鐵文軒	/	/	/	3	未徵集，標註為南音
715	1新出發瘋佬自嘆（瘋佬自嘆）	廣州醉經書局機器板	廣東省立中山圖書館	全	選	龍舟歌	5	兩者內容大體同，用字稍異 建議均收。
716	2瘋佬自嘆	廣州五桂堂 機器板	首都圖書館	全	選	龍舟歌	3	兩者內容大體同，用字稍異 建議均收。
717	齊王祭奠（齊王哭奠） 枕流氏稿	廣州醉經書局刻本	廣東省立中山圖書館	全	選	南音	3	孔夫子舊書網有三元堂本。
718	齊家善法	廣州以文堂	俗文學叢刊416冊	/	/	龍舟歌	/	/
719	1-鄧嬌問病（存卷上）	廣州漢華書局據五桂堂本改板印行	廣東省立中山圖書館	/	/	龍舟歌	5	卷下為“歎五更”。
720	1-鄧嬌嘆五更；嘆五更	石岐鑑記刻本	廣州圖書館	殘	/	龍舟歌	5	上卷題“鄧嬌問病”，下卷題“嘆五更”。 1與2內容版式同，但1僅存卷下P3-4，建議選2。
721	2-鄧嬌嘆五更；嘆五更	刻本	廣東省立中山圖書館	全	選	龍舟歌	4	上卷題“鄧嬌問病”，下卷題“嘆五更”。 1與2內容版式同，但1僅存卷下P3-4，建議選2。
722	大棚賣芥蘭一卷	機器板	順德區圖書館	/	/	大棚戲	3	未檢查。另“胡生賣芥蘭”，待比對。
723	賣瘋解心	廣州以文堂	俗文學叢刊419冊	/	/	龍舟歌	/	/
724	樊梨花陣上招親（樊梨花招親）	省港五桂堂刻本	廣東省立中山圖書館	全	選	龍舟歌	3	/
725	樊梨花嘆五更	廣州五桂堂刻本	廣東省立中山圖書館	全	選	龍舟歌	3	/
726	1-賢妻諫賭	省港五桂堂機器板	廣東省立中山圖書館	全	/	龍舟歌	3	3與1底本同，與2底本內容、版式同。建議收3.
727	2-賢妻諫賭（機板正字南音賢妻諫賭）	香港五桂堂據以文堂機器板改板印行機器板	廣州圖書館	全	/	龍舟歌	3	3與1底本同，與2底本內容、版式同。建議收3.
728	3-賢妻諫賭	廣州五桂堂機器板	補館藏	全	選	龍舟歌	3	3與1底本同，與2底本內容、版式同。建議收3.
729	賢婦諫煙夫（五諫）	廣州以文堂	俗文學叢刊417冊	/	/	龍舟歌	/	與40同？待核
730	豬仔客自嘆	廣州醉經堂	俗文學叢刊419冊	/	/	龍舟歌	/	/
731	豬籠浸女	廣州五桂堂	俗文學叢刊419冊	/	/	龍舟歌	/	/
732	1-全本劏仔記一卷（謀夫害子陰陽報）怡情主人撰	廣州廣文堂	德國巴伐利亞州立圖書館	全	選	南音-木魚書	44	正文主體內容同，個別用字有異。1底本清晰度較好。
733	2-新刻全本謀夫害子劏仔記（謀夫害子）二卷	省港五桂堂	廣東省立中山圖書館	全	待定	南音-木魚書	31	/
734	賭仔回頭	廣州以文堂	俗文學叢刊419冊	/	/	龍舟歌	/	/
735	賭仔新發財二卷（存卷上）	廣州醉經書局機器板	廣東省立中山圖書館	缺	選	龍舟歌	4	上圖有以文堂本
736	賭仔賣女二卷	廣州醉經書局機器板	廣東省立中山圖書館	全	選	龍舟歌	6	/
737	數菜名	廣州以文堂	俗文學叢刊419冊	/	/	龍舟歌	/	/
738	1-新刻正字盤龍寶扇全本（正字盤龍寶扇全本）二卷	以文堂	中山大學中國非物質文化遺產研究中心	全	選	南音-木魚書	16	按：兩底本均全，內容同。1以文堂版字跡更清晰。
739	2-新刻正字盤龍寶扇全本（正字盤龍寶扇）二卷	省港五桂堂機器板	廣東省立中山圖書館	全	/	南音-木魚書	17	按：兩底本均全，內容同。1以文堂版字跡更清晰。
740	劉生嘆五更	廣州五桂堂刻本	廣東省立中山圖書館	全	選	龍舟歌	4	/
741	新刻正字劉全進瓜全本（劉全進瓜）二卷	省港五桂堂機器版	中山大學圖書館	全	選	南音	28	/
742	1劉秀走國四集二十四卷 株守山房南海西侯居士 訂稿	醉經書局據佛山近文堂刻本改板印行	中山大學圖書館	/	選	南音-木魚書	433	1疑三集卷六缺頁，與2比對。2為新增，缺多。選1
743	2新刻劉秀走國全本三集（新本劉秀太子走國三集全）六卷	醉經堂板	法國陳慶浩	/	/	南音-木魚書	109	1疑三集卷六缺頁，與2比對。2為新增，缺多。選1
744	1-劉金定灌藥（劉金定灌藥南音）	廣州廣文堂刻本	德國巴伐利亞州立圖書館	全	選	龍舟歌	4	1與161-2主體內容同，用字有異。該底本較好，另者較差，選該條還是兩者均收，請定。據傅斯年圖書館分類。
745	161-2-劉金定灌藥（重訂七嫁才郎文件夾內）	機器板	廣州圖書館	全	待定	龍舟歌	4	1與161-2主體內容同，用字有異。該底本較好，另者較差，選該條還是兩者均收，請定。據傅斯年圖書館分類。
746	1-新選潛龍走國（潛龍走國）四卷	五桂堂據舊板改板印行	中山大學中國非物質文化遺產研究中心	全	選	南音	80	按：兩底本同，1全，2存卷一，選1。需選擇頁面清淅者配補。
747	2-新選潛龍走國（潛龍走國）四卷（存卷一）	省港五桂堂刻本	廣東省立中山圖書館	缺	/	南音	20	按：兩底本同，1全，2存卷一，選1。需選擇頁面清淅者配補。
748	窮極賣老婆	廣州以文堂	俗文學叢刊415冊	/	/	龍舟歌	/	/
749	龍舟歌薛平貴全套二卷	據以文堂本改板印行	廣東省立中山圖書館	殘	選	龍舟歌	41	/
750	王寶釧彩樓招贅（書名頁題薛平貴全套）	清末廣州刻本	國家圖書館XD9895	/	/	/	/	已征
751	薛剛大鬧花燈打爛太廟	廣州以文堂板	俗文學叢刊414冊	/	/	龍舟歌	/	/
752	1新刻薛剛大戰紀鸞英（鸞英招親）二卷	省港五桂堂刻本	廣東省立中山圖書館	全	選	龍舟歌	7	按：倆底本內容同，1個別頁碼邊緣字跡不夠清晰。2底本較清晰，但卷一封面與各頁版心殘破，不夠完整。建議收1
753	2新刻薛剛大戰紀鸞英（新出龍舟歌紀鸞英招親）二卷	廣州三元堂刻本	廣州圖書館	全	/	龍舟歌	8	按：倆底本內容同，1個別頁碼邊緣字跡不夠清晰。2底本較清晰，但卷一封面與各頁版心殘破，不夠完整。建議收1
754	1新刻薛剛夜祭坵墳全本（祭鉄坵墳）二卷	廣州以文堂據丹柱堂刻本改板印行刻本	英國倫敦大學亞非學院圖書館	全	選	南音	35	/
755	2薛剛夜祭坵墳二卷	廣州以文堂·丹柱堂板	俗文學叢刊	/	/	南音	/	/
756	薛剛借兵	廣州五桂堂機器板	廣東省立中山圖書館	全	選	龍舟歌	3	/
757	薛家後代四集二十四卷 閒情居士訂	廣州德文堂據舊本改板印行	廣東省立中山圖書館	全	選	南音	408	初集薛家後代（新刻薛家後代全本）六卷；二集薛家後代（二續薛家後代全本）六卷；三集薛家後代（三續薛家後代全本）六卷；四集薛家後代（四續薛家後代全本）六卷。
758	醒世字花歌	廣州以文堂	俗文學叢刊416冊	/	/	龍舟歌	/	/
759	醒世良規二卷	醉經書局機器板	廣州圖書館	全	選	龍舟歌	23	/
760	1醜婦遊十殿	廣州華興書局排印本	廣東省立中山圖書館	全	選	木魚書	23	主體內容同，但用字有異，1底本淺， 2底本清晰，二者兼收。
761	2醜婦遊拾殿	赤坎新開印書局鉛印本	中山大學圖書館中山大學中國非物質文化遺產研究中心	全	選	木魚書	12	主體內容同，但用字有異，1底本淺， 2底本清晰，二者兼收。
762	錢名解心	廣州醉經堂	俗文學叢刊416冊	/	/	龍舟歌	/	/
763	錦香亭全集三卷	光緒十三年萃英樓藏板三卷	俗文學叢刊443冊	/	/	南音	/	/
764	1-錦雲肩（乾隆新刻錦雲肩記全本）二卷 逸軒主人評選	廣州攀桂堂刻本	德國巴伐利亞州立圖書館	全	選	南音	41	按：倆底本主體內容同，但用字有異，2底本多圖一副，建議倆者均收。
765	2-新刻錦雲肩胡生哭別二卷	醉經書局刻本	中山大學圖書館	全	選	南音	26	按：倆底本主體內容同，但用字有異，2底本多圖一副，建議倆者均收。
766	錦霞掃雪二卷	佛山芹香閣板	俗文學叢刊476冊	/	/	南音-木魚書	/	/
767	禪房怨解心（新禪房怨解心）（存上卷）	林興堂	德國巴伐利亞州立圖書館	全	選	龍舟歌	3	/
768	闊老鬧老舉（鬧嗅老妓）	廣州五桂堂機器板	廣東省立中山圖書館	全	選	龍舟歌	3	/
769	新刻全本鍾景期錦香亭記南音（新刻唐明皇游月殿全）二卷	廣州攀桂堂刻本	英國倫敦大學亞非學院圖書館	全	選	南音	41	/
770	1-鍾無豔娘娘六集六十四卷 守拙主人、閒情居士訂	廣州五桂堂據璧經堂?永利堂刊本改板印行	廣東省立中山圖書館	殘	選	南音	1191	1、2、3、4底本同，1相對完整，但個別頁面殘，用其他底本補，資料已經替換，見456-已補配
771	2-鍾無豔（新刻鍾無豔娘娘全本）六集六十四卷（） 守拙主人、閒情居士訂	廣州五桂堂據璧經堂·永利堂刊本改板印行	中山大學中國非物質文化遺產研究中心	殘	/	南音	/	初集存卷一卷九；二集存卷三；三集闕卷一、八、九；四集闕卷一、二；五集闕卷一；六集存卷十。
772	3-鍾無豔（新刻鍾無豔娘娘全本）初集	廣州五桂堂據璧經堂·永利堂刊本改板印行守拙主人訂	廣州圖書館	殘	/	南音	/	三集、四集、五集全；集闕卷一卷十，尾脫兩頁；六集存前五卷
773	4-鍾無豔娘娘三集	底本待補	廣州圖書館	/	/	南音	/	/
774	4-鍾無豔娘娘三集	底本待補	法國陳慶浩	/	/	未見	/	/
775	5-鍾無豔娘娘六集六十四卷	廣州五桂堂·璧經堂·永利堂	俗文學叢刊429~433冊	/	/	南音	/	/
776	1新刻蠄蜍王（化身太子蠄蜍王）三卷	以文堂據丹柱堂刻本改板印行刻本	中山大學圖書館	全	選	南音	32	按：三底本同，印刷次數不同，底本均較好，1與2稍佳。
777	2新刻蠄蜍王（化身太子蠄蜍王）三卷	以文堂據丹柱堂刻本改板印行刻本	英國倫敦大學亞非學院圖書館	全	/	南音	32	按：三底本同，印刷次數不同，底本均較好，1與2稍佳。
778	3螓蜍王	丹柱堂刻本	中山大學中國非物質文化遺產研究中心	全	/	南音	31	按：三底本同，印刷次數不同，底本均較好，1與2稍佳。
779	雙奶媽附薦（奶媽附薦）	廣州五桂堂刻本	廣東省立中山圖書館	全	選	龍舟歌？	4	/
780	雙珠鳳記（全本雙珠鳳記）二卷2卷	廣州廣文堂刻本	德國巴伐利亞州立圖書館	全	選	南音？	52	/
781	新本雙陽宮主追夫南音（雙陽追夫）	省港五桂堂寫刻本	日本天理大學附屬天理圖書館	全	選	南音？	3	/
782	雙陽嘆五更	省港五桂書局刻本	廣東省立中山圖書館	全	選	龍舟歌	3	/
783	雙陽公主嘆五更	廣州丹柱堂木刻本	鐵文軒	/	/	/	3	未徵集，封面題南音。
784	新編全本雙鳳裙（機器版雙鳳裙全本）五卷	五桂堂藏板刻本	中山大學圖書館	全	選	南音	92	/
785	新刻雙鳳騎仙全本（雙鳳奇仙）四卷	五桂堂據永善堂刻本改板印行刻本	中山大學圖書館	全	刪	南音-木魚書	48	/
786	1新本斷機教子（斷機教子南音）	廣州蘭經堂刻本	德國巴伐利亞州立圖書館	/	選	南音	3	按：二者內容大致同，個別措辭有異。兩者均收？請定。
787	2斷機教子	省港五桂堂機器板	廣東省立中山圖書館	/	選	南音	3	按：二者內容大致同，個別措辭有異。兩者均收？請定。
788	斷機教子	機器板	順德區圖書館	/	/	/	3	未檢查
789	勸戒殘肢（文明放腳）二卷	五桂堂板	廣東省立中山圖書館	全	選	龍舟歌？	5	/
790	龍舟蘇小妹憶母嘆更（新出龍舟歌蘇小妹嘆更）	正興街成文堂刻本	廣州圖書館	全	選	龍舟歌	4	/
791	1-新選全本蘇英娘娘走國（蘇英走國）四集二十四卷	醉經堂據丹柱堂刻本改板印行	中山大學圖書館	全	選	南音	431	按：兩底本同印刷版次不同，均為醉經堂刊本。前全後殘。可用1為底本。
792	2-新選全本蘇英娘娘走國（蘇英娘娘走國）四集二十四卷 閒情居士稿	醉經堂據丹柱堂刻本改板印行	中山大學中國非物質文化遺產研究中心	殘	/	南音	/	按：兩底本同印刷版次不同，均為醉經堂刊本。前全後殘。可用1為底本。
793	蘇映雪墜樓三卷	廣州五桂堂	俗文學叢刊465冊	/	/	南音	/	/
794	蘇映雪墜樓三卷	廣州五桂堂	鐵文軒	全	/	南音	21	/
795	1-蘇娘嘆五更（蘇娘五更）	廣州醉經書局機器板	廣東省立中山圖書館	全	選	龍舟歌	3	倆者內容有差異，建議均收。上圖有以文堂本。
